strain	virus	accession	date	region	country	state	division	city	db	segment	authors	url	title	journal	paper_url
KR348982	wnv	KR348982	2011-01-09	North America	USA	CA	CA/Kern			genome					
KR348983	wnv	KR348983	2011-01-09	North America	USA	CA	CA/Kern			genome					
KR348984	wnv	KR348984	2011-01-09	North America	USA	CA	CA/Kern			genome					
KR348985	wnv	KR348985	2007-08-14	North America	USA	CA	CA/Kern			genome					
KR348986	wnv	KR348986	2007-08-14	North America	USA	CA	CA/Kern			genome					
KR348987	wnv	KR348987	2008-10-09	North America	USA	CA	CA/Kern			genome					
KR348988	wnv	KR348988	2008-12-09	North America	USA	CA	CA/Kern			genome					
KR348989	wnv	KR348989	2007-11-09	North America	USA	CA	CA/Kern			genome					
KR348990	wnv	KR348990	2007-09-13	North America	USA	CA	CA/Kern			genome					
KR348991	wnv	KR348991	2007-09-14	North America	USA	CA	CA/Kern			genome					
KR348992	wnv	KR348992	2006-09-22	North America	USA	CA	CA/Kern			genome					
KR348993	wnv	KR348993	2011-07-21	North America	USA	CA	CA/San-Bernardino			genome					
KR348994	wnv	KR348994	2005-08-24	North America	USA	CA	CA/Sacramento			genome					
KR348995	wnv	KR348995	2005-08-23	North America	USA	CA	CA/Sacramento			genome					
KR348996	wnv	KR348996	2004-08-10	North America	USA	CA	CA/Sacramento			genome					
KR348997	wnv	KR348997	2005-06-29	North America	USA	CA	CA/Sacramento			genome					
KR348998	wnv	KR348998	2008-06-27	North America	USA	CA	CA/Sacramento			genome					
KR348999	wnv	KR348999	2005-07-18	North America	USA	CA	CA/Sacramento			genome					
KR349000	wnv	KR349000	2008-07-25	North America	USA	CA	CA/Sacramento			genome					
KR349001	wnv	KR349001	2011-01-09	North America	USA	CA	CA/Sacramento			genome					
KR349002	wnv	KR349002	2011-01-09	North America	USA	CA	CA/Sacramento			genome					
KR349003	wnv	KR349003	2011-01-09	North America	USA	CA	CA/Sacramento			genome					
KR349004	wnv	KR349004	2011-01-09	North America	USA	CA	CA/Sacramento			genome					
KR349005	wnv	KR349005	2011-01-09	North America	USA	CA	CA/Sacramento			genome					
KR349006	wnv	KR349006	2011-01-09	North America	USA	CA	CA/Sacramento			genome					
KR349007	wnv	KR349007	2005-07-15	North America	USA	CA	CA/Solano			genome					
KR349008	wnv	KR349008	2005-07-15	North America	USA	CA	CA/Yolo			genome					
KR349009	wnv	KR349009	2005-07-15	North America	USA	CA	CA/Solano			genome					
KR349010	wnv	KR349010	2005-07-26	North America	USA	CA	CA/Sacramento			genome					
KR349011	wnv	KR349011	2005-07-28	North America	USA	CA	CA/Sacramento			genome					
KR349012	wnv	KR349012	2005-07-28	North America	USA	CA	CA/Sacramento			genome					
KR349013	wnv	KR349013	2007-09-25	North America	USA	CA	CA/Sacramento			genome					
KR349014	wnv	KR349014	2008-08-26	North America	USA	CA	CA/Yolo			genome					
KR349015	wnv	KR349015	2004-11-08	North America	USA	CA	CA/Sacramento			genome					
KR349016	wnv	KR349016	2004-08-13	North America	USA	CA	CA/Yolo			genome					
KR349017	wnv	KR349017	2007-07-25	North America	USA	CA	CA/Shasta			genome					
KR349018	wnv	KR349018	2007-07-26	North America	USA	CA	CA/Shasta			genome					
KR349019	wnv	KR349019	2009-08-25	North America	USA	CA	CA/Shasta			genome					
KR349020	wnv	KR349020	2011-02-09	North America	USA	CA	CA/Shasta			genome					
KR349021	wnv	KR349021	2011-01-09	North America	USA	CA	CA/Sacramento			genome					
KR349022	wnv	KR349022	2011-02-09	North America	USA	CA	CA/Los-Angeles			genome					
KR349023	wnv	KR349023	2004-08-13	North America	USA	CA	CA/Yolo			genome					
KR349024	wnv	KR349024	2003-08-19	North America	USA	CA	CA/Imperial			genome					
KR349025	wnv	KR349025	2007-07-25	North America	USA	CA	CA/Shasta			genome					
KR349026	wnv	KR349026	2011-09-13	North America	USA	CA	CA/Sutter			genome					
KR868734	wnv	KR868734	2012-08-22	North America	USA	CO	CO/Larimer			genome					
KT020853	wnv	KT020853	2014-09-01	North America	USA	NE	NE/Dundy			genome					
KT862843	wnv	KT862843	2010-09-08	North America	USA	TX	TX/Harris			genome					
KT862844	wnv	KT862844	2011-08-29	North America	USA	TX	TX/Harris			genome					
KU978766	wnv	KU978766	2008-07-15	North America	USA	COL/ANT	COL/ANT/Medellin			genome					
KU978769	wnv	KU978769	2003-05-30	North America	USA					genome					
KX547164	wnv	KX547164	2006-09-08	North America	USA	NY	NY/Nassau			genome					
KX547165	wnv	KX547165	2005-09-10	North America	USA	NY	NY/Broome			genome					
KX547166	wnv	KX547166	2003-10-28	North America	USA	NY	NY/Greene			genome					
KX547167	wnv	KX547167	2013-09-04	North America	USA	NY	NY/Onondaga			genome					
KX547168	wnv	KX547168	2012-09-27	North America	USA	NY	NY/Albany			genome					
KX547169	wnv	KX547169	2015-09-02	North America	USA	NY	NY/Oswego			genome					
KX547170	wnv	KX547170	2003-09-23	North America	USA	NY	NY/Onondaga			genome					
KX547171	wnv	KX547171	2011-08-03	North America	USA	NY	NY/Oneida			genome					
KX547172	wnv	KX547172	2009-09-02	North America	USA	NY	NY/Greene			genome					
KX547173	wnv	KX547173	2005-08-31	North America	USA	NY	NY/Orleans			genome					
KX547174	wnv	KX547174	2013-07-16	North America	USA	NY	NY/Westchester			genome					
KX547175	wnv	KX547175	2008-07-10	North America	USA	NY	NY/Suffolk			genome					
KX547176	wnv	KX547176	2003-08-12	North America	USA	NY	NY/Westchester			genome					
KX547177	wnv	KX547177	2012-07-06	North America	USA	NY	NY/Rockland			genome					
KX547178	wnv	KX547178	2003-08-13	North America	USA	NY	NY/Suffolk			genome					
KX547179	wnv	KX547179	2002-08-08	North America	USA	NY	NY/Richmond			genome					
KX547180	wnv	KX547180	2006-09-07	North America	USA	NY	NY/Oswego			genome					
KX547181	wnv	KX547181	2003-09-24	North America	USA	NY	NY/Ulster			genome					
KX547182	wnv	KX547182	2002-09-11	North America	USA	NY	NY/Orange			genome					
KX547183	wnv	KX547183	2008-07-22	North America	USA	NY	NY/Westchester			genome					
KX547184	wnv	KX547184	2013-08-28	North America	USA	NY	NY/Onondaga			genome					
KX547185	wnv	KX547185	2012-09-06	North America	USA	NY	NY/Erie			genome					
KX547186	wnv	KX547186	2008-07-08	North America	USA	NY	NY/Nassau			genome					
KX547187	wnv	KX547187	2008-08-28	North America	USA	NY	NY/Albany			genome					
KX547188	wnv	KX547188	2003-08-15	North America	USA	NY	NY/Broome			genome					
KX547189	wnv	KX547189	2002-08-09	North America	USA	NY	NY/Broome			genome					
KX547190	wnv	KX547190	2013-07-12	North America	USA	NY	NY/Nassau			genome					
KX547191	wnv	KX547191	2008-08-07	North America	USA	NY	NY/Dutchess			genome					
KX547192	wnv	KX547192	2011-08-24	North America	USA	NY	NY/Oneida			genome					
KX547193	wnv	KX547193	2005-10-07	North America	USA	NY	NY/Nassau			genome					
KX547194	wnv	KX547194	2002-09-21	North America	USA	NY	NY/New-York			genome					
KX547195	wnv	KX547195	2007-09-19	North America	USA	NY	NY/Bronx			genome					
KX547196	wnv	KX547196	2013-09-17	North America	USA	NY	NY/Nassau			genome					
KX547197	wnv	KX547197	2004-07-29	North America	USA	NY	NY/Ontario			genome					
KX547198	wnv	KX547198	2012-08-28	North America	USA	NY	NY/Onondaga			genome					
KX547199	wnv	KX547199	2005-07-20	North America	USA	NY	NY/Suffolk			genome					
KX547200	wnv	KX547200	2012-08-16	North America	USA	NY	NY/Orange			genome					
KX547201	wnv	KX547201	2012-07-20	North America	USA	NY	NY/Nassau			genome					
KX547202	wnv	KX547202	2004-09-26	North America	USA	NY	NY/Niagara			genome					
KX547203	wnv	KX547203	2001-10-04	North America	USA	NY	NY/Suffolk			genome					
KX547204	wnv	KX547204	2002-09-12	North America	USA	NY	NY/Washington			genome					
KX547205	wnv	KX547205	2005-08-19	North America	USA	NY	NY/Rockland			genome					
KX547206	wnv	KX547206	2015-08-07	North America	USA	NY	NY/Chautauqua			genome					
KX547207	wnv	KX547207	2002-08-14	North America	USA	NY	NY/Fulton			genome					
KX547208	wnv	KX547208	2007-07-02	North America	USA	NY	NY/Dutchess			genome					
KX547209	wnv	KX547209	2006-10-22	North America	USA	NY	NY/Montgomery			genome					
KX547210	wnv	KX547210	2001-08-17	North America	USA	NY	NY/Nassau			genome					
KX547211	wnv	KX547211	2006-09-11	North America	USA	NY	NY/Putnam			genome					
KX547212	wnv	KX547212	2003-09-30	North America	USA	NY	NY/Orange			genome					
KX547213	wnv	KX547213	2002-09-13	North America	USA	NY	NY/Ulster			genome					
KX547214	wnv	KX547214	2009-09-10	North America	USA	NY	NY/Chautauqua			genome					
KX547215	wnv	KX547215	2006-08-22	North America	USA	NY	NY/Niagara			genome					
KX547216	wnv	KX547216	2011-09-16	North America	USA	NY	NY/Rockland			genome					
KX547217	wnv	KX547217	2005-09-29	North America	USA	NY	NY/Kings			genome					
KX547218	wnv	KX547218	2003-08-14	North America	USA	NY	NY/Monroe			genome					
KX547219	wnv	KX547219	2007-08-30	North America	USA	NY	NY/Dutchess			genome					
KX547220	wnv	KX547220	2011-08-18	North America	USA	NY	NY/Suffolk			genome					
KX547221	wnv	KX547221	2014-09-23	North America	USA	NY	NY/Nassau			genome					
KX547222	wnv	KX547222	2012-07-06	North America	USA	NY	NY/Nassau			genome					
KX547223	wnv	KX547223	2005-09-16	North America	USA	NY	NY/Queens			genome					
KX547224	wnv	KX547224	2006-09-08	North America	USA	NY	NY/Rockland			genome					
KX547225	wnv	KX547225	2010-09-17	North America	USA	NY	NY/Rockland			genome					
KX547226	wnv	KX547226	2007-07-25	North America	USA	NY	NY/Onondaga			genome					
KX547227	wnv	KX547227	2011-09-01	North America	USA	NY	NY/Erie			genome					
KX547228	wnv	KX547228	2002-09-10	North America	USA	NY	NY/Richmond			genome					
KX547229	wnv	KX547229	2006-08-29	North America	USA	NY	NY/Orleans			genome					
KX547230	wnv	KX547230	2002-09-20	North America	USA	NY	NY/Niagara			genome					
KX547231	wnv	KX547231	2007-08-07	North America	USA	NY	NY/Westchester			genome					
KX547232	wnv	KX547232	2004-08-30	North America	USA	NY	NY/Richmond			genome					
KX547233	wnv	KX547233	2007-07-19	North America	USA	NY	NY/Richmond			genome					
KX547234	wnv	KX547234	2012-07-03	North America	USA	NY	NY/Westchester			genome					
KX547235	wnv	KX547235	2015-08-13	North America	USA	NY	NY/Orange			genome					
KX547236	wnv	KX547236	2011-09-15	North America	USA	NY	NY/Onondaga			genome					
KX547237	wnv	KX547237	2004-08-12	North America	USA	NY	NY/Genesee			genome					
KX547238	wnv	KX547238	2002-08-21	North America	USA	NY	NY/Saint-Lawrence			genome					
KX547239	wnv	KX547239	2003-08-20	North America	USA	NY	NY/Suffolk			genome					
KX547240	wnv	KX547240	2008-09-03	North America	USA	NY	NY/Westchester			genome					
KX547241	wnv	KX547241	2003-09-09	North America	USA	NY	NY/Erie			genome					
KX547242	wnv	KX547242	2010-08-03	North America	USA	NY	NY/Westchester			genome					
KX547243	wnv	KX547243	2006-08-23	North America	USA	NY	NY/Lewis			genome					
KX547244	wnv	KX547244	2003-10-02	North America	USA	NY	NY/Clinton			genome					
KX547245	wnv	KX547245	2002-09-13	North America	USA	NY	NY/Nassau			genome					
KX547246	wnv	KX547246	2002-09-06	North America	USA	NY	NY/Chemung			genome					
KX547247	wnv	KX547247	2002-08-14	North America	USA	NY	NY/Erie			genome					
KX547248	wnv	KX547248	2003-09-26	North America	USA	NY	NY/Rockland			genome					
KX547249	wnv	KX547249	2004-09-15	North America	USA	NY	NY/Queens			genome					
KX547250	wnv	KX547250	2006-08-03	North America	USA	NY	NY/Erie			genome					
KX547251	wnv	KX547251	2002-07-19	North America	USA	NY	NY/Rockland			genome					
KX547252	wnv	KX547252	2002-09-13	North America	USA	NY	NY/Onondaga			genome					
KX547253	wnv	KX547253	2004-05-30	North America	USA	NY	NY/Saint-Lawrence			genome					
KX547254	wnv	KX547254	2013-07-17	North America	USA	NY	NY/Suffolk			genome					
KX547255	wnv	KX547255	2011-09-13	North America	USA	NY	NY/Oswego			genome					
KX547256	wnv	KX547256	2004-08-10	North America	USA	NY	NY/Orange			genome					
KX547257	wnv	KX547257	2007-09-24	North America	USA	NY	NY/Erie			genome					
KX547258	wnv	KX547258	2006-07-12	North America	USA	NY	NY/Ontario			genome					
KX547259	wnv	KX547259	2005-08-11	North America	USA	NY	NY/Niagara			genome					
KX547260	wnv	KX547260	2006-08-10	North America	USA	NY	NY/Onondaga			genome					
KX547261	wnv	KX547261	2002-09-04	North America	USA	NY	NY/Queens			genome					
KX547262	wnv	KX547262	2005-07-20	North America	USA	NY	NY/Onondaga			genome					
KX547263	wnv	KX547263	2002-09-16	North America	USA	NY	NY/Albany			genome					
KX547264	wnv	KX547264	2004-08-16	North America	USA	NY	NY/Livingston			genome					
KX547265	wnv	KX547265	2009-08-31	North America	USA	NY	NY/Suffolk			genome					
KX547266	wnv	KX547266	2002-08-09	North America	USA	NY	NY/Nassau			genome					
KX547267	wnv	KX547267	2003-09-29	North America	USA	NY	NY/Dutchess			genome					
KX547268	wnv	KX547268	2006-08-09	North America	USA	NY	NY/Nassau			genome					
KX547269	wnv	KX547269	2013-08-23	North America	USA	NY	NY/Oswego			genome					
KX547270	wnv	KX547270	2006-08-23	North America	USA	NY	NY/Albany			genome					
KX547271	wnv	KX547271	2006-08-12	North America	USA	NY	NY/Seneca			genome					
KX547272	wnv	KX547272	2001-08-07	North America	USA	NY	NY/Suffolk			genome					
KX547273	wnv	KX547273	2006-07-31	North America	USA	NY	NY/Erie			genome					
KX547274	wnv	KX547274	2013-09-05	North America	USA	NY	NY/Madison			genome					
KX547275	wnv	KX547275	2004-09-03	North America	USA	NY	NY/Jefferson			genome					
KX547276	wnv	KX547276	2011-07-18	North America	USA	NY	NY/Erie			genome					
KX547277	wnv	KX547277	2004-09-23	North America	USA	NY	NY/Orange			genome					
KX547278	wnv	KX547278	2012-09-17	North America	USA	NY	NY/Albany			genome					
KX547279	wnv	KX547279	2010-07-08	North America	USA	NY	NY/Suffolk			genome					
KX547280	wnv	KX547280	2012-09-10	North America	USA	NY	NY/Oswego			genome					
KX547281	wnv	KX547281	2004-06-04	North America	USA	NY	NY/Cortland			genome					
KX547282	wnv	KX547282	2004-09-07	North America	USA	NY	NY/Orleans			genome					
KX547283	wnv	KX547283	2012-08-30	North America	USA	NY	NY/Nassau			genome					
KX547284	wnv	KX547284	2008-08-15	North America	USA	NY	NY/Niagara			genome					
KX547285	wnv	KX547285	2004-08-16	North America	USA	NY	NY/Bronx			genome					
KX547286	wnv	KX547286	2015-09-03	North America	USA	NY	NY/Chautauqua			genome					
KX547287	wnv	KX547287	2003-09-29	North America	USA	NY	NY/New-York			genome					
KX547288	wnv	KX547288	2003-07-27	North America	USA	NY	NY/Broome			genome					
KX547289	wnv	KX547289	2005-10-05	North America	USA	NY	NY/Cortland			genome					
KX547290	wnv	KX547290	2007-08-13	North America	USA	NY	NY/Schenectady			genome					
KX547291	wnv	KX547291	2012-08-14	North America	USA	NY	NY/Onondaga			genome					
KX547292	wnv	KX547292	2009-09-16	North America	USA	NY	NY/Suffolk			genome					
KX547293	wnv	KX547293	2011-08-24	North America	USA	NY	NY/Oswego			genome					
KX547294	wnv	KX547294	2010-09-30	North America	USA	NY	NY/Rockland			genome					
KX547295	wnv	KX547295	2011-08-24	North America	USA	NY	NY/Nassau			genome					
KX547296	wnv	KX547296	2004-05-11	North America	USA	NY	NY/Columbia			genome					
KX547297	wnv	KX547297	2007-08-06	North America	USA	NY	NY/Orleans			genome					
KX547298	wnv	KX547298	2004-08-03	North America	USA	NY	NY/Erie			genome					
KX547299	wnv	KX547299	2002-08-25	North America	USA	NY	NY/Otsego			genome					
KX547300	wnv	KX547300	2009-08-17	North America	USA	NY	NY/Ulster			genome					
KX547301	wnv	KX547301	2002-09-10	North America	USA	NY	NY/Onondaga			genome					
KX547302	wnv	KX547302	2004-08-04	North America	USA	NY	NY/Broome			genome					
KX547303	wnv	KX547303	2005-07-27	North America	USA	NY	NY/Westchester			genome					
KX547304	wnv	KX547304	2004-09-02	North America	USA	NY	NY/Ulster			genome					
KX547305	wnv	KX547305	2002-08-25	North America	USA	NY	NY/Albany			genome					
KX547306	wnv	KX547306	2009-09-02	North America	USA	NY	NY/Westchester			genome					
KX547307	wnv	KX547307	2005-08-15	North America	USA	NY	NY/Bronx			genome					
KX547308	wnv	KX547308	2004-09-30	North America	USA	NY	NY/Bronx			genome					
KX547309	wnv	KX547309	2008-08-14	North America	USA	NY	NY/Suffolk			genome					
KX547310	wnv	KX547310	2003-08-26	North America	USA	NY	NY/Westchester			genome					
KX547311	wnv	KX547311	2003-09-25	North America	USA	NY	NY/Albany			genome					
KX547312	wnv	KX547312	2004-05-20	North America	USA	NY	NY/Niagara			genome					
KX547313	wnv	KX547313	2004-08-03	North America	USA	NY	NY/Oswego			genome					
KX547314	wnv	KX547314	2002-09-27	North America	USA	NY	NY/Broome			genome					
KX547315	wnv	KX547315	2012-08-24	North America	USA	NY	NY/Nassau			genome					
KX547316	wnv	KX547316	2001-09-13	North America	USA	NY	NY/Westchester			genome					
KX547317	wnv	KX547317	2004-07-27	North America	USA	NY	NY/Nassau			genome					
KX547318	wnv	KX547318	2006-08-19	North America	USA	NY	NY/Niagara			genome					
KX547319	wnv	KX547319	2009-09-07	North America	USA	NY	NY/Rensselaer			genome					
KX547320	wnv	KX547320	2002-09-17	North America	USA	NY	NY/Suffolk			genome					
KX547321	wnv	KX547321	2005-09-07	North America	USA	NY	NY/Rockland			genome					
KX547322	wnv	KX547322	2003-08-19	North America	USA	NY	NY/Onondaga			genome					
KX547323	wnv	KX547323	2013-07-31	North America	USA	NY	NY/Westchester			genome					
KX547324	wnv	KX547324	2013-08-14	North America	USA	NY	NY/Oswego			genome					
KX547325	wnv	KX547325	2011-09-20	North America	USA	NY	NY/Onondaga			genome					
KX547326	wnv	KX547326	2007-08-01	North America	USA	NY	NY/Nassau			genome					
KX547327	wnv	KX547327	2006-08-24	North America	USA	NY	NY/Niagara			genome					
KX547328	wnv	KX547328	2013-07-03	North America	USA	NY	NY/Rockland			genome					
KX547329	wnv	KX547329	2007-08-24	North America	USA	NY	NY/Richmond			genome					
KX547330	wnv	KX547330	2013-09-18	North America	USA	NY	NY/Erie			genome					
KX547331	wnv	KX547331	2002-09-26	North America	USA	NY	NY/Oswego			genome					
KX547332	wnv	KX547332	2005-08-08	North America	USA	NY	NY/Bronx			genome					
KX547333	wnv	KX547333	2013-10-09	North America	USA	NY	NY/Suffolk			genome					
KX547334	wnv	KX547334	2012-06-18	North America	USA	NY	NY/Erie			genome					
KX547335	wnv	KX547335	2008-08-05	North America	USA	NY	NY/Erie			genome					
KX547336	wnv	KX547336	2002-09-09	North America	USA	NY	NY/Essex			genome					
KX547337	wnv	KX547337	2012-09-28	North America	USA	NY	NY/Rockland			genome					
KX547338	wnv	KX547338	2005-09-09	North America	USA	NY	NY/Richmond			genome					
KX547339	wnv	KX547339	2007-09-11	North America	USA	NY	NY/Suffolk			genome					
KX547340	wnv	KX547340	2012-08-16	North America	USA	NY	NY/Orange			genome					
KX547341	wnv	KX547341	2005-01-31	North America	USA	NY	NY/Dutchess			genome					
KX547342	wnv	KX547342	2006-08-10	North America	USA	NY	NY/Orange			genome					
KX547343	wnv	KX547343	2012-08-08	North America	USA	NY	NY/Erie			genome					
KX547344	wnv	KX547344	2013-07-24	North America	USA	NY	NY/Oswego			genome					
KX547345	wnv	KX547345	2004-08-11	North America	USA	NY	NY/Rockland			genome					
KX547346	wnv	KX547346	2004-06-18	North America	USA	NY	NY/Albany			genome					
KX547347	wnv	KX547347	2005-05-25	North America	USA	NY	NY/Monroe			genome					
KX547348	wnv	KX547348	2009-08-14	North America	USA	NY	NY/Rockland			genome					
KX547349	wnv	KX547349	2006-08-31	North America	USA	NY	NY/Westchester			genome					
KX547350	wnv	KX547350	2006-07-28	North America	USA	NY	NY/Rockland			genome					
KX547351	wnv	KX547351	2004-08-04	North America	USA	NY	NY/Nassau			genome					
KX547352	wnv	KX547352	2008-08-14	North America	USA	NY	NY/Orange			genome					
KX547353	wnv	KX547353	2000-07-11	North America	USA	NY	NY/Suffolk			genome					
KX547354	wnv	KX547354	2003-10-03	North America	USA	NY	NY/Schoharie			genome					
KX547355	wnv	KX547355	2005-09-13	North America	USA	NY	NY/Albany			genome					
KX547356	wnv	KX547356	2012-08-07	North America	USA	NY	NY/Oswego			genome					
KX547357	wnv	KX547357	2007-08-07	North America	USA	NY	NY/Suffolk			genome					
KX547358	wnv	KX547358	2013-09-20	North America	USA	NY	NY/Rockland			genome					
KX547359	wnv	KX547359	2006-08-14	North America	USA	NY	NY/Nassau			genome					
KX547360	wnv	KX547360	2005-09-11	North America	USA	NY	NY/Putnam			genome					
KX547361	wnv	KX547361	2010-08-12	North America	USA	NY	NY/Suffolk			genome					
KX547362	wnv	KX547362	2005-08-31	North America	USA	NY	NY/Dutchess			genome					
KX547363	wnv	KX547363	2003-08-13	North America	USA	NY	NY/Onondaga			genome					
KX547364	wnv	KX547364	2002-09-13	North America	USA	NY	NY/Rockland			genome					
KX547365	wnv	KX547365	2008-07-30	North America	USA	NY	NY/Suffolk			genome					
KX547366	wnv	KX547366	2005-08-10	North America	USA	NY	NY/Bronx			genome					
KX547367	wnv	KX547367	2006-07-21	North America	USA	NY	NY/Richmond			genome					
KX547368	wnv	KX547368	2009-08-28	North America	USA	NY	NY/Rockland			genome					
KX547369	wnv	KX547369	2011-08-25	North America	USA	NY	NY/Westchester			genome					
KX547370	wnv	KX547370	2005-08-30	North America	USA	NY	NY/Dutchess			genome					
KX547371	wnv	KX547371	2007-09-20	North America	USA	NY	NY/Jefferson			genome					
KX547372	wnv	KX547372	2009-08-13	North America	USA	NY	NY/Suffolk			genome					
KX547373	wnv	KX547373	2009-09-30	North America	USA	NY	NY/Niagara			genome					
KX547374	wnv	KX547374	2002-08-23	North America	USA	NY	NY/Orange			genome					
KX547375	wnv	KX547375	2011-09-08	North America	USA	NY	NY/Oswego			genome					
KX547376	wnv	KX547376	2010-09-16	North America	USA	NY	NY/Erie			genome					
KX547377	wnv	KX547377	2005-07-21	North America	USA	NY	NY/Nassau			genome					
KX547378	wnv	KX547378	2002-09-11	North America	USA	NY	NY/Suffolk			genome					
KX547379	wnv	KX547379	2004-09-28	North America	USA	NY	NY/Suffolk			genome					
KX547380	wnv	KX547380	2012-07-11	North America	USA	NY	NY/Erie			genome					
KX547381	wnv	KX547381	2003-10-03	North America	USA	NY	NY/Putnam			genome					
KX547382	wnv	KX547382	2007-08-24	North America	USA	NY	NY/Richmond			genome					
KX547383	wnv	KX547383	2002-10-04	North America	USA	NY	NY/Rockland			genome					
KX547384	wnv	KX547384	2006-08-07	North America	USA	NY	NY/Richmond			genome					
KX547385	wnv	KX547385	2006-07-27	North America	USA	NY	NY/Richmond			genome					
KX547386	wnv	KX547386	2000-07-21	North America	USA	NY	NY/Rockland			genome					
KX547387	wnv	KX547387	2006-08-22	North America	USA	NY	NY/Chautauqua			genome					
KX547388	wnv	KX547388	2010-08-26	North America	USA	NY	NY/Suffolk			genome					
KX547389	wnv	KX547389	2012-09-07	North America	USA	NY	NY/Suffolk			genome					
KX547390	wnv	KX547390	2004-08-29	North America	USA	NY	NY/Genesee			genome					
KX547391	wnv	KX547391	2010-08-25	North America	USA	NY	NY/Erie			genome					
KX547392	wnv	KX547392	2007-08-08	North America	USA	NY	NY/Erie			genome					
KX547393	wnv	KX547393	2002-08-06	North America	USA	NY	NY/Suffolk			genome					
KX547394	wnv	KX547394	2006-08-01	North America	USA	NY	NY/Suffolk			genome					
KX547395	wnv	KX547395	2000-08-31	North America	USA	NY	NY/Suffolk			genome					
KX547396	wnv	KX547396	2005-09-16	North America	USA	NY	NY/Rockland			genome					
KX547397	wnv	KX547397	2005-08-30	North America	USA	NY	NY/Rensselaer			genome					
KX547398	wnv	KX547398	2002-08-23	North America	USA	NY	NY/Madison			genome					
KX547399	wnv	KX547399	2007-09-06	North America	USA	NY	NY/Suffolk			genome					
KX547400	wnv	KX547400	2006-08-30	North America	USA	NY	NY/Queens			genome					
KX547401	wnv	KX547401	2008-09-16	North America	USA	NY	NY/Suffolk			genome					
KX547402	wnv	KX547402	2002-09-18	North America	USA	NY	NY/Onondaga			genome					
KX547403	wnv	KX547403	2004-05-20	North America	USA	NY	NY/Onondaga			genome					
KX547404	wnv	KX547404	2008-08-18	North America	USA	NY	NY/Albany			genome					
KX547405	wnv	KX547405	2003-08-09	North America	USA	NY	NY/Tompkins			genome					
KX547406	wnv	KX547406	2009-09-25	North America	USA	NY	NY/Nassau			genome					
KX547407	wnv	KX547407	2009-08-27	North America	USA	NY	NY/Suffolk			genome					
KX547408	wnv	KX547408	2004-09-13	North America	USA	NY	NY/Erie			genome					
KX547409	wnv	KX547409	2003-09-10	North America	USA	NY	NY/Putnam			genome					
KX547410	wnv	KX547410	2012-07-30	North America	USA	NY	NY/Oswego			genome					
KX547411	wnv	KX547411	2003-07-10	North America	USA	NY	NY/Rockland			genome					
KX547412	wnv	KX547412	2011-08-30	North America	USA	NY	NY/Madison			genome					
KX547413	wnv	KX547413	2005-08-02	North America	USA	NY	NY/Otsego			genome					
KX547414	wnv	KX547414	2002-09-10	North America	USA	NY	NY/Onondaga			genome					
KX547415	wnv	KX547415	2004-07-28	North America	USA	NY	NY/Monroe			genome					
KX547416	wnv	KX547416	2011-08-04	North America	USA	NY	NY/Onondaga			genome					
KX547417	wnv	KX547417	2011-07-22	North America	USA	NY	NY/Rockland			genome					
KX547418	wnv	KX547418	2012-08-16	North America	USA	NY	NY/Saint-Lawrence			genome					
KX547419	wnv	KX547419	2007-08-23	North America	USA	NY	NY/Dutchess			genome					
KX547420	wnv	KX547420	2006-07-28	North America	USA	NY	NY/Suffolk			genome					
KX547421	wnv	KX547421	2002-08-15	North America	USA	NY	NY/Steuben			genome					
KX547422	wnv	KX547422	2003-10-03	North America	USA	NY	NY/Queens			genome					
KX547423	wnv	KX547423	2004-07-16	North America	USA	NY	NY/Richmond			genome					
KX547424	wnv	KX547424	2007-07-10	North America	USA	NY	NY/Onondaga			genome					
KX547425	wnv	KX547425	2009-09-09	North America	USA	NY	NY/Suffolk			genome					
KX547426	wnv	KX547426	2007-08-08	North America	USA	NY	NY/Onondaga			genome					
KX547427	wnv	KX547427	2004-06-22	North America	USA	NY	NY/Chautauqua			genome					
KX547428	wnv	KX547428	2002-09-26	North America	USA	NY	NY/Onondaga			genome					
KX547429	wnv	KX547429	2002-08-15	North America	USA	NY	NY/Westchester			genome					
KX547430	wnv	KX547430	2009-08-18	North America	USA	NY	NY/Onondaga			genome					
KX547431	wnv	KX547431	2006-08-17	North America	USA	NY	NY/Niagara			genome					
KX547432	wnv	KX547432	2006-08-10	North America	USA	NY	NY/Suffolk			genome					
KX547433	wnv	KX547433	2006-08-31	North America	USA	NY	NY/Richmond			genome					
KX547434	wnv	KX547434	2009-09-11	North America	USA	NY	NY/Rockland			genome					
KX547435	wnv	KX547435	2006-08-18	North America	USA	NY	NY/Kings			genome					
KX547436	wnv	KX547436	2008-09-08	North America	USA	NY	NY/Erie			genome					
KX547437	wnv	KX547437	2003-07-29	North America	USA	NY	NY/Suffolk			genome					
KX547438	wnv	KX547438	2011-08-10	North America	USA	NY	NY/Onondaga			genome					
KX547439	wnv	KX547439	2003-08-14	North America	USA	NY	NY/Niagara			genome					
KX547440	wnv	KX547440	2008-08-19	North America	USA	NY	NY/Suffolk			genome					
KX547441	wnv	KX547441	2005-08-16	North America	USA	NY	NY/Suffolk			genome					
KX547442	wnv	KX547442	2010-08-31	North America	USA	NY	NY/Westchester			genome					
KX547443	wnv	KX547443	2012-08-17	North America	USA	NY	NY/Nassau			genome					
