strain	virus	accession	date	region	country	state	division	city	db	segment	authors	url	title	journal	paper_url	latitude	longitude	county
KJ501323	wnv	KJ501323	2003-07-31	North America	USA	NA	MN			genome						45.6945	-93.9002	
KJ501324	wnv	KJ501324	2003-08-29	North America	USA	NA	MN			genome						45.6945	-93.9002	
KJ501326	wnv	KJ501326	2003-08-06	North America	USA	NA	MT			genome						46.9219	-110.4544	
KJ501327	wnv	KJ501327	2003-08-06	North America	USA	NA	MT			genome						46.9219	-110.4544	
KJ501328	wnv	KJ501328	2002-08-06	North America	USA	NA	NC			genome						35.6301	-79.8064	
KJ501329	wnv	KJ501329	2003-08-05	North America	USA	NA	ND			genome						47.5289	-99.784	
KJ501330	wnv	KJ501330	2005-08-25	North America	USA	NA	ND			genome						47.5289	-99.784	
KJ501331	wnv	KJ501331	2002-09-12	North America	USA	NA	OH			genome						40.3888	-82.7649	
KJ501332	wnv	KJ501332	2001-09-13	North America	USA	NA	VA			genome						37.7693	-78.169	
KJ501333	wnv	KJ501333	2002-08-13	North America	USA	NA	VA			genome						37.7693	-78.169	
KJ501335	wnv	KJ501335	2005-08-19	North America	USA	NA	WI			genome						44.2685	-89.6165	
KJ501336	wnv	KJ501336	2001-09-07	North America	USA	NA	AL			genome						32.8067	-86.7911	
KJ501337	wnv	KJ501337	2002-09-13	North America	USA	NA	AL			genome						32.8067	-86.7911	
KJ501338	wnv	KJ501338	2002-09-09	North America	USA	NA	AL			genome						32.8067	-86.7911	
KJ501339	wnv	KJ501339	2002-09-13	North America	USA	NA	AL			genome						32.8067	-86.7911	
KJ501340	wnv	KJ501340	2003-09-01	North America	USA	NA	AL			genome						32.8067	-86.7911	
KJ501341	wnv	KJ501341	2005-08-01	North America	USA	NA	CA			genome						36.1162	-119.6816	
KJ501342	wnv	KJ501342	2005-09-15	North America	USA	NA	CA			genome						36.1162	-119.6816	
KJ501343	wnv	KJ501343	2001-09-04	North America	USA	NA	DC			genome						38.9072	-77.0369	
KJ501344	wnv	KJ501344	2002-07-30	North America	USA	NA	DC			genome						38.9072	-77.0369	
KJ501345	wnv	KJ501345	2002-09-12	North America	USA	NA	MO			genome						38.4561	-92.2884	
KJ501346	wnv	KJ501346	2003-02-10	North America	USA	NA	MO			genome						38.4561	-92.2884	
KJ501347	wnv	KJ501347	2002-09-27	North America	USA	NA	NM			genome						34.8405	-106.2485	
KJ501348	wnv	KJ501348	2003-09-09	North America	USA	NA	NM			genome						34.8405	-106.2485	
KJ501349	wnv	KJ501349	2003-07-31	North America	USA	NA	ND			genome						47.5289	-99.784	
KJ501350	wnv	KJ501350	2003-08-06	North America	USA	NA	ND			genome						47.5289	-99.784	
KJ501351	wnv	KJ501351	2003-07-28	North America	USA	NA	OK			genome						35.5653	-96.9289	
KJ501352	wnv	KJ501352	2003-08-14	North America	USA	NA	OK			genome						35.5653	-96.9289	
KJ501353	wnv	KJ501353	2003-08-08	North America	USA	NA	OK			genome						35.5653	-96.9289	
KJ501354	wnv	KJ501354	2003-09-25	North America	USA	NA	OK			genome						35.5653	-96.9289	
KJ501355	wnv	KJ501355	2002-07-03	North America	USA	NA	TX			genome						31.0545	-97.5635	
KJ501356	wnv	KJ501356	2003-07-16	North America	USA	NA	TX			genome						31.0545	-97.5635	
KJ501357	wnv	KJ501357	2003-08-04	North America	USA	NA	TX			genome						31.0545	-97.5635	
KJ501358	wnv	KJ501358	2003-08-19	North America	USA	NA	TX			genome						31.0545	-97.5635	
KJ501359	wnv	KJ501359	2003-09-16	North America	USA	NA	NJ			genome						40.2989	-74.521	
KJ501360	wnv	KJ501360	2003-09-05	North America	USA	NA	NC			genome						35.6301	-79.8064	
KJ501361	wnv	KJ501361	2001-10-05	North America	USA	NA	OH			genome						40.3888	-82.7649	
KJ501362	wnv	KJ501362	2001-10-01	North America	USA	NA	OH			genome						40.3888	-82.7649	
KJ501363	wnv	KJ501363	2001-09-14	North America	USA	NA	OH			genome						40.3888	-82.7649	
KJ501364	wnv	KJ501364	2002-08-26	North America	USA	NA	PA			genome						40.5908	-77.2098	
KJ501365	wnv	KJ501365	2003-09-11	North America	USA	NA	PA			genome						40.5908	-77.2098	
KJ501366	wnv	KJ501366	2003-09-22	North America	USA	NA	PA			genome						40.5908	-77.2098	
KJ501368	wnv	KJ501368	2002-08-06	North America	USA	NA	TN			genome						35.7478	-86.6923	
KJ501369	wnv	KJ501369	2002-08-08	North America	USA	NA	TN			genome						35.7478	-86.6923	
KJ501370	wnv	KJ501370	2002-07-31	North America	USA	NA	AR			genome						34.9697	-92.3731	
KJ501371	wnv	KJ501371	2002-08-02	North America	USA	NA	AR			genome						34.9697	-92.3731	
KJ501372	wnv	KJ501372	2003-10-09	North America	USA	NA	FL			genome						27.7663	-81.6868	
KJ501373	wnv	KJ501373	2002-08-20	North America	USA	NA	GA			genome						33.0406	-83.6431	
KJ501374	wnv	KJ501374	2001-11-06	North America	USA	NA	NJ			genome						40.2989	-74.521	
KJ501375	wnv	KJ501375	2002-08-08	North America	USA	NA	NJ			genome						40.2989	-74.521	
KJ501376	wnv	KJ501376	2002-09-17	North America	USA	NA	OH			genome						40.3888	-82.7649	
KJ501377	wnv	KJ501377	2001-08-23	North America	USA	NA	OH			genome						40.3888	-82.7649	
KJ501378	wnv	KJ501378	2001-09-20	North America	USA	NA	PA			genome						40.5908	-77.2098	
KJ501379	wnv	KJ501379	2001-09-27	North America	USA	NA	WI			genome						44.2685	-89.6165	
KJ501380	wnv	KJ501380	2002-09-05	North America	USA	NA	WI			genome						44.2685	-89.6165	
KJ501381	wnv	KJ501381	2003-07-30	North America	USA	NA	MN			genome						45.6945	-93.9002	
KJ501382	wnv	KJ501382	2003-08-29	North America	USA	NA	MN			genome						45.6945	-93.9002	
KJ501383	wnv	KJ501383	2002-08-13	North America	USA	NA	MS			genome						32.7416	-89.6787	
KJ501384	wnv	KJ501384	2002-08-13	North America	USA	NA	MS			genome						32.7416	-89.6787	
KJ501385	wnv	KJ501385	2004-08-05	North America	USA	NA	MT			genome						46.9219	-110.4544	
KJ501386	wnv	KJ501386	2007-07-27	North America	USA	NA	MT			genome						46.9219	-110.4544	
KJ501387	wnv	KJ501387	2002-08-30	North America	USA	NA	NE			genome						41.1254	-98.2681	
KJ501388	wnv	KJ501388	2002-08-30	North America	USA	NA	NE			genome						41.1254	-98.2681	
KJ501389	wnv	KJ501389	2003-08-06	North America	USA	NA	SD			genome						44.2998	-99.4388	
KJ501390	wnv	KJ501390	2003-08-06	North America	USA	NA	SD			genome						44.2998	-99.4388	
KJ501391	wnv	KJ501391	2003-08-06	North America	USA	NA	SD			genome						44.2998	-99.4388	
KJ501392	wnv	KJ501392	2003-07-19	North America	USA	NA	SD			genome						44.2998	-99.4388	
KJ501393	wnv	KJ501393	2001-09-14	North America	USA	NA	VA			genome						37.7693	-78.169	
KJ501394	wnv	KJ501394	2001-09-13	North America	USA	NA	VA			genome						37.7693	-78.169	
KJ501395	wnv	KJ501395	2001-10-04	North America	USA	NA	VA			genome						37.7693	-78.169	
KJ501396	wnv	KJ501396	2003-08-28	North America	USA	NA	VA			genome						37.7693	-78.169	
KJ501397	wnv	KJ501397	2002-08-23	North America	USA	NA	AL			genome						32.8067	-86.7911	
KJ501398	wnv	KJ501398	2004-09-30	North America	USA	NA	CA			genome						36.1162	-119.6816	
KJ501399	wnv	KJ501399	2002-07-31	North America	USA	NA	DC			genome						38.9072	-77.0369	
KJ501400	wnv	KJ501400	2002-08-14	North America	USA	NA	DC			genome						38.9072	-77.0369	
KJ501401	wnv	KJ501401	2001-10-02	North America	USA	NA	IL			genome						40.3495	-88.9861	
KJ501402	wnv	KJ501402	2004-10-15	North America	USA	NA	MN			genome						45.6945	-93.9002	
KJ501403	wnv	KJ501403	2005-08-09	North America	USA	NA	MN			genome						45.6945	-93.9002	
KJ501404	wnv	KJ501404	2005-07-28	North America	USA	NA	MN			genome						45.6945	-93.9002	
KJ501405	wnv	KJ501405	2006-07-19	North America	USA	NA	MN			genome						45.6945	-93.9002	
KJ501406	wnv	KJ501406	2006-07-27	North America	USA	NA	MN			genome						45.6945	-93.9002	
KJ501407	wnv	KJ501407	2006-07-27	North America	USA	NA	MN			genome						45.6945	-93.9002	
KJ501408	wnv	KJ501408	2006-07-27	North America	USA	NA	MN			genome						45.6945	-93.9002	
KJ501409	wnv	KJ501409	2006-07-28	North America	USA	NA	MN			genome						45.6945	-93.9002	
KJ501410	wnv	KJ501410	2006-08-17	North America	USA	NA	MN			genome						45.6945	-93.9002	
KJ501411	wnv	KJ501411	2008-08-12	North America	USA	NA	NE			genome						41.1254	-98.2681	
KJ501412	wnv	KJ501412	2008-08-12	North America	USA	NA	NE			genome						41.1254	-98.2681	
KJ501413	wnv	KJ501413	2004-10-15	North America	USA	NA	NC			genome						35.6301	-79.8064	
KJ501414	wnv	KJ501414	2005-08-25	North America	USA	NA	NC			genome						35.6301	-79.8064	
KJ501415	wnv	KJ501415	2006-07-26	North America	USA	NA	NC			genome						35.6301	-79.8064	
KJ501416	wnv	KJ501416	2006-09-07	North America	USA	NA	NC			genome						35.6301	-79.8064	
KJ501417	wnv	KJ501417	2006-07-26	North America	USA	NA	NC			genome						35.6301	-79.8064	
KJ501418	wnv	KJ501418	2008-12-04	North America	USA	NA	NC			genome						35.6301	-79.8064	
KJ501419	wnv	KJ501419	2004-08-06	North America	USA	NA	SD			genome						44.2998	-99.4388	
KJ501420	wnv	KJ501420	2004-08-06	North America	USA	NA	SD			genome						44.2998	-99.4388	
KJ501421	wnv	KJ501421	2004-08-06	North America	USA	NA	SD			genome						44.2998	-99.4388	
KJ501422	wnv	KJ501422	2004-08-06	North America	USA	NA	SD			genome						44.2998	-99.4388	
KJ501423	wnv	KJ501423	2004-08-06	North America	USA	NA	SD			genome						44.2998	-99.4388	
KJ501424	wnv	KJ501424	2007-08-03	North America	USA	NA	SD			genome						44.2998	-99.4388	
KJ501425	wnv	KJ501425	2007-08-03	North America	USA	NA	SD			genome						44.2998	-99.4388	
KJ501426	wnv	KJ501426	2002-07-19	North America	USA	NA	TX			genome						31.0545	-97.5635	
KJ501427	wnv	KJ501427	2002-09-11	North America	USA	NA	TX			genome						31.0545	-97.5635	
KJ501428	wnv	KJ501428	2006-08-15	North America	USA	NA	WI			genome						44.2685	-89.6165	
KJ501429	wnv	KJ501429	2006-08-16	North America	USA	NA	WI			genome						44.2685	-89.6165	
KJ501430	wnv	KJ501430	2006-08-16	North America	USA	NA	WI			genome						44.2685	-89.6165	
KJ501431	wnv	KJ501431	2006-08-16	North America	USA	NA	WI			genome						44.2685	-89.6165	
KJ501432	wnv	KJ501432	2012-08-29	North America	USA	NA	MA			genome						42.2302	-71.5301	
KJ501434	wnv	KJ501434	2012-07-30	North America	USA	NA	MT			genome						46.9219	-110.4544	
KJ501435	wnv	KJ501435	2012-08-13	North America	USA	NA	SD			genome						44.2998	-99.4388	
KJ501437	wnv	KJ501437	2012-08-28	North America	USA	NA	WI			genome						44.2685	-89.6165	
KJ501438	wnv	KJ501438	2010-05-18	North America	USA	NA	AZ			genome						33.7298	-111.4312	
KJ501439	wnv	KJ501439	2001-10-12	North America	USA	NA	MO			genome						38.4561	-92.2884	
KJ501440	wnv	KJ501440	2008-07-30	North America	USA	NA	SD			genome						44.2998	-99.4388	
KJ501441	wnv	KJ501441	2008-10-01	North America	USA	NA	SD			genome						44.2998	-99.4388	
KJ501442	wnv	KJ501442	2010-05-19	North America	USA	NA	AZ			genome						33.7298	-111.4312	
KJ501443	wnv	KJ501443	2001-10-19	North America	USA	NA	IL			genome						40.3495	-88.9861	
KJ501445	wnv	KJ501445	2001-10-02	North America	USA	NA	NJ			genome						40.2989	-74.521	
KJ501446	wnv	KJ501446	2003-09-16	North America	USA	NA	NJ			genome						40.2989	-74.521	
KJ501447	wnv	KJ501447	2003-07-09	North America	USA	NA	NC			genome						35.6301	-79.8064	
KJ501448	wnv	KJ501448	2001-01-01	North America	USA	NA	OH			genome						40.3888	-82.7649	
KJ501449	wnv	KJ501449	2002-08-26	North America	USA	NA	PA			genome						40.5908	-77.2098	
KJ501450	wnv	KJ501450	2002-08-27	North America	USA	NA	PA			genome						40.5908	-77.2098	
KJ501451	wnv	KJ501451	2003-08-28	North America	USA	NA	PA			genome						40.5908	-77.2098	
KJ501452	wnv	KJ501452	2001-11-09	North America	USA	NA	WI			genome						44.2685	-89.6165	
KJ501453	wnv	KJ501453	2001-10-05	North America	USA	NA	WI			genome						44.2685	-89.6165	
KJ501454	wnv	KJ501454	2001-10-05	North America	USA	NA	WI			genome						44.2685	-89.6165	
KJ501455	wnv	KJ501455	2001-09-14	North America	USA	NA	AL			genome						32.8067	-86.7911	
KJ501456	wnv	KJ501456	2003-08-19	North America	USA	NA	MD			genome						39.0639	-76.8021	
KJ501457	wnv	KJ501457	2003-09-26	North America	USA	NA	MA			genome						42.2302	-71.5301	
KJ501458	wnv	KJ501458	2002-08-30	North America	USA	NA	MO			genome						38.4561	-92.2884	
KJ501459	wnv	KJ501459	2003-08-01	North America	USA	NA	OK			genome						35.5653	-96.9289	
KJ501460	wnv	KJ501460	2003-09-11	North America	USA	NA	DC			genome						38.9072	-77.0369	
KJ501461	wnv	KJ501461	2005-09-01	North America	USA	NA	MT			genome						46.9219	-110.4544	
KJ501462	wnv	KJ501462	2002-09-12	North America	USA	NA	UT			genome						40.15	-111.8624	
KJ501463	wnv	KJ501463	2002-08-09	North America	USA	NA	KS			genome						38.5266	-96.7265	
KJ501464	wnv	KJ501464	2002-09-16	North America	USA	NA	MD			genome						39.0639	-76.8021	
KJ501465	wnv	KJ501465	2001-08-24	North America	USA	NA	MI			genome						43.3266	-84.5361	
KJ501466	wnv	KJ501466	2002-09-20	North America	USA	NA	MI			genome						43.3266	-84.5361	
KJ501467	wnv	KJ501467	2002-09-27	North America	USA	NA	MI			genome						43.3266	-84.5361	
KJ501468	wnv	KJ501468	2001-09-27	North America	USA	NA	MS			genome						32.7416	-89.6787	
KJ501469	wnv	KJ501469	2003-08-15	North America	USA	NE	NE/Knox			genome						42.5998	-97.8901	Knox
KJ501470	wnv	KJ501470	2003-08-05	North America	USA	NA	SD			genome						44.2998	-99.4388	
KJ501471	wnv	KJ501471	2005-08-12	North America	USA	NA	AZ			genome						33.7298	-111.4312	
KJ501472	wnv	KJ501472	2003-08-15	North America	USA	NA	GA			genome						33.0406	-83.6431	
KJ501473	wnv	KJ501473	2001-09-27	North America	USA	NA	IL			genome						40.3495	-88.9861	
KJ501474	wnv	KJ501474	2002-09-27	North America	USA	NA	IA			genome						42.0115	-93.2105	
KJ501475	wnv	KJ501475	2002-08-23	North America	USA	NA	KS			genome						38.5266	-96.7265	
KJ501476	wnv	KJ501476	2002-08-30	North America	USA	NA	KS			genome						38.5266	-96.7265	
KJ501477	wnv	KJ501477	2003-08-12	North America	USA	NA	KS			genome						38.5266	-96.7265	
KJ501478	wnv	KJ501478	2003-08-14	North America	USA	NA	KS			genome						38.5266	-96.7265	
KJ501479	wnv	KJ501479	2002-09-04	North America	USA	NA	KY			genome						37.6681	-84.6701	
KJ501480	wnv	KJ501480	2001-09-13	North America	USA	NA	MD			genome						39.0639	-76.8021	
KJ501481	wnv	KJ501481	2002-09-04	North America	USA	NA	MI			genome						43.3266	-84.5361	
KJ501482	wnv	KJ501482	2002-07-17	North America	USA	NA	NE			genome						41.1254	-98.2681	
KJ501483	wnv	KJ501483	2002-07-30	North America	USA	NA	NE			genome						41.1254	-98.2681	
KJ501484	wnv	KJ501484	2002-08-30	North America	USA	NA	NE			genome						41.1254	-98.2681	
KJ501485	wnv	KJ501485	2006-07-18	North America	USA	NA	NV			genome						38.3135	-117.0554	
KJ501486	wnv	KJ501486	2001-09-17	North America	USA	NA	NJ			genome						40.2989	-74.521	
KJ501487	wnv	KJ501487	2005-09-02	North America	USA	NA	NC			genome						35.6301	-79.8064	
KJ501488	wnv	KJ501488	2003-07-23	North America	USA	NA	ND			genome						47.5289	-99.784	
KJ501489	wnv	KJ501489	2002-07-30	North America	USA	NA	VA			genome						37.7693	-78.169	
KJ501490	wnv	KJ501490	2002-08-06	North America	USA	NA	VA			genome						37.7693	-78.169	
KJ501491	wnv	KJ501491	2002-08-13	North America	USA	NA	VA			genome						37.7693	-78.169	
KJ501492	wnv	KJ501492	2005-08-12	North America	USA	NA	WI			genome						44.2685	-89.6165	
KJ501493	wnv	KJ501493	2001-10-02	North America	USA	NA	DC			genome						38.9072	-77.0369	
KJ501494	wnv	KJ501494	2001-09-18	North America	USA	NA	DC			genome						38.9072	-77.0369	
KJ501495	wnv	KJ501495	2002-08-13	North America	USA	NA	DC			genome						38.9072	-77.0369	
KJ501496	wnv	KJ501496	2001-10-10	North America	USA	NA	IL			genome						40.3495	-88.9861	
KJ501497	wnv	KJ501497	2001-10-17	North America	USA	NA	IL			genome						40.3495	-88.9861	
KJ501498	wnv	KJ501498	2003-08-22	North America	USA	NA	MD			genome						39.0639	-76.8021	
KJ501499	wnv	KJ501499	2003-10-02	North America	USA	NA	MD			genome						39.0639	-76.8021	
KJ501500	wnv	KJ501500	2009-12-22	North America	USA	NA	MD			genome						39.0639	-76.8021	
KJ501501	wnv	KJ501501	2002-08-16	North America	USA	NA	MO			genome						38.4561	-92.2884	
KJ501502	wnv	KJ501502	2002-09-04	North America	USA	NA	MT			genome						46.9219	-110.4544	
KJ501503	wnv	KJ501503	2002-07-25	North America	USA	NA	NC			genome						35.6301	-79.8064	
KJ501504	wnv	KJ501504	2003-08-13	North America	USA	NA	ND			genome						47.5289	-99.784	
KJ501505	wnv	KJ501505	2002-07-17	North America	USA	NA	OK			genome						35.5653	-96.9289	
KJ501506	wnv	KJ501506	2003-09-30	North America	USA	NA	OK			genome						35.5653	-96.9289	
KJ501507	wnv	KJ501507	2001-08-30	North America	USA	NA	SD			genome						44.2998	-99.4388	
KJ501508	wnv	KJ501508	2003-07-31	North America	USA	NA	TX			genome						31.0545	-97.5635	
KJ501509	wnv	KJ501509	2001-11-09	North America	USA	NA	WI			genome						44.2685	-89.6165	
KJ501510	wnv	KJ501510	2002-08-02	North America	USA	NA	AR			genome						34.9697	-92.3731	
KJ501511	wnv	KJ501511	2002-08-02	North America	USA	NA	AR			genome						34.9697	-92.3731	
KJ501512	wnv	KJ501512	2001-10-02	North America	USA	NA	GA			genome						33.0406	-83.6431	
KJ501514	wnv	KJ501514	2002-10-02	North America	USA	NA	GA			genome						33.0406	-83.6431	
KJ501515	wnv	KJ501515	2001-10-31	North America	USA	NA	NJ			genome						40.2989	-74.521	
KJ501516	wnv	KJ501516	2001-09-20	North America	USA	NA	OH			genome						40.3888	-82.7649	
KJ501517	wnv	KJ501517	2002-08-15	North America	USA	NA	OH			genome						40.3888	-82.7649	
KJ501518	wnv	KJ501518	2007-07-27	North America	USA	NA	MT			genome						46.9219	-110.4544	
KJ501519	wnv	KJ501519	2002-08-13	North America	USA	NA	VA			genome						37.7693	-78.169	
KJ501520	wnv	KJ501520	2004-10-15	North America	USA	NA	MN			genome						45.6945	-93.9002	
KJ501521	wnv	KJ501521	2006-07-18	North America	USA	NA	NV			genome						38.3135	-117.0554	
KJ501522	wnv	KJ501522	2004-07-30	North America	USA	NA	NC			genome						35.6301	-79.8064	
KJ501523	wnv	KJ501523	2006-07-25	North America	USA	NA	NC			genome						35.6301	-79.8064	
KJ501524	wnv	KJ501524	2006-09-07	North America	USA	NA	NC			genome						35.6301	-79.8064	
KJ501525	wnv	KJ501525	2004-08-06	North America	USA	NA	SD			genome						44.2998	-99.4388	
KJ501526	wnv	KJ501526	2006-07-17	North America	USA	NA	SD			genome						44.2998	-99.4388	
KJ501527	wnv	KJ501527	2003-08-04	North America	USA	NA	TX			genome						31.0545	-97.5635	
KJ501529	wnv	KJ501529	2006-08-16	North America	USA	NA	WI			genome						44.2685	-89.6165	
KJ501530	wnv	KJ501530	2012-09-27	North America	USA	NA	PA			genome						40.5908	-77.2098	
KJ501531	wnv	KJ501531	2012-08-07	North America	USA	NA	NY			genome						42.1657	-74.9481	
KJ501532	wnv	KJ501532	2012-08-21	North America	USA	NA	NY			genome						42.1657	-74.9481	
KJ501533	wnv	KJ501533	2012-08-24	North America	USA	NA	NY			genome						42.1657	-74.9481	
KJ501534	wnv	KJ501534	2011-08-25	North America	USA	NA	NY			genome						42.1657	-74.9481	
KJ501535	wnv	KJ501535	2011-09-27	North America	USA	NA	NY			genome						42.1657	-74.9481	
KJ501536	wnv	KJ501536	2011-08-26	North America	USA	NA	NY			genome						42.1657	-74.9481	
KJ501537	wnv	KJ501537	2011-07-27	North America	USA	NA	NY			genome						42.1657	-74.9481	
KJ501538	wnv	KJ501538	2011-07-26	North America	USA	NA	NY			genome						42.1657	-74.9481	
KJ501539	wnv	KJ501539	2011-09-23	North America	USA	NA	NY			genome						42.1657	-74.9481	
KJ786934	wnv	KJ786934	2001-08-01	North America	USA	NA	NY			genome						42.1657	-74.9481	
KJ786935	wnv	KJ786935	2012-08-22	North America	USA	NA	TX			genome						31.0545	-97.5635	
KJ786936	wnv	KJ786936	2012-08-17	North America	USA	NA	TX			genome						31.0545	-97.5635	
KM012170	wnv	KM012170	2012-08-01	North America	USA	NA	AZ			genome						33.7298	-111.4312	
KM012171	wnv	KM012171	2012-08-01	North America	USA	NA	MS			genome						32.7416	-89.6787	
KM012172	wnv	KM012172	2012-08-01	North America	USA	NA	TX			genome						31.0545	-97.5635	
KM012173	wnv	KM012173	2012-08-01	North America	USA	NA	SD			genome						44.2998	-99.4388	
KM012174	wnv	KM012174	2012-08-01	North America	USA	NA	AZ			genome						33.7298	-111.4312	
KM012175	wnv	KM012175	2012-08-01	North America	USA	NA	CA			genome						36.1162	-119.6816	
KM012176	wnv	KM012176	2012-08-01	North America	USA	NA	NC			genome						35.6301	-79.8064	
KM012177	wnv	KM012177	2012-08-01	North America	USA	NA	WY			genome						42.7559	-107.3025	
KM012178	wnv	KM012178	2012-08-01	North America	USA	NA	TX			genome						31.0545	-97.5635	
KM012179	wnv	KM012179	2012-08-01	North America	USA	NA	SD			genome						44.2998	-99.4388	
KM012180	wnv	KM012180	2012-08-01	North America	USA	NA	GA			genome						33.0406	-83.6431	
KM012181	wnv	KM012181	2012-08-01	North America	USA	NA	LA			genome						31.1695	-91.8678	
KM012182	wnv	KM012182	2012-08-01	North America	USA	NA	NM			genome						34.8405	-106.2485	
KM012183	wnv	KM012183	2012-08-01	North America	USA	NA	TX			genome						31.0545	-97.5635	
KM012184	wnv	KM012184	2012-08-01	North America	USA	NA	OH			genome						40.3888	-82.7649	
KM012185	wnv	KM012185	2012-08-01	North America	USA	NA	NE			genome						41.1254	-98.2681	
KM012186	wnv	KM012186	2012-08-01	North America	USA	NA	OH			genome						40.3888	-82.7649	
KM012187	wnv	KM012187	2012-08-01	North America	USA	NA	NE			genome						41.1254	-98.2681	
KM012188	wnv	KM012188	2012-08-01	North America	USA	NA	IL			genome						40.3495	-88.9861	
KR348915	wnv	KR348915	2011-08-29	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348916	wnv	KR348916	2008-08-18	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348917	wnv	KR348917	2008-08-18	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348918	wnv	KR348918	2011-03-10	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348919	wnv	KR348919	2009-07-29	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348920	wnv	KR348920	2009-03-08	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348921	wnv	KR348921	2009-03-08	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348922	wnv	KR348922	2009-08-18	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348923	wnv	KR348923	2003-08-19	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348924	wnv	KR348924	2003-08-19	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348925	wnv	KR348925	2003-08-19	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348926	wnv	KR348926	2008-12-06	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348927	wnv	KR348927	2003-09-16	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348928	wnv	KR348928	2007-10-07	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348929	wnv	KR348929	2008-10-07	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348930	wnv	KR348930	2009-01-09	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348931	wnv	KR348931	2009-01-09	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348932	wnv	KR348932	2007-09-18	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348933	wnv	KR348933	2008-03-09	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348934	wnv	KR348934	2007-09-18	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348935	wnv	KR348935	2005-05-29	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348936	wnv	KR348936	2008-09-25	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348937	wnv	KR348937	2010-08-06	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348938	wnv	KR348938	2011-02-15	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348939	wnv	KR348939	2005-06-19	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348940	wnv	KR348940	2010-08-06	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348941	wnv	KR348941	2011-08-30	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348942	wnv	KR348942	2011-08-30	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348943	wnv	KR348943	2004-04-14	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348944	wnv	KR348944	2010-09-14	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348945	wnv	KR348945	2004-04-28	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348946	wnv	KR348946	2008-07-24	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348947	wnv	KR348947	2007-09-18	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348948	wnv	KR348948	2004-08-16	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348949	wnv	KR348949	2004-08-24	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348950	wnv	KR348950	2008-05-22	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348951	wnv	KR348951	2004-05-17	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348952	wnv	KR348952	2007-10-18	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348953	wnv	KR348953	2008-09-25	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348954	wnv	KR348954	2010-11-08	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348955	wnv	KR348955	2007-05-12	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348956	wnv	KR348956	2010-12-08	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348957	wnv	KR348957	2010-12-08	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348958	wnv	KR348958	2011-02-09	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348959	wnv	KR348959	2011-02-09	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348960	wnv	KR348960	2011-02-09	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348961	wnv	KR348961	2011-02-09	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348962	wnv	KR348962	2011-02-09	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348963	wnv	KR348963	2011-02-09	North America	USA	NA	CA			genome						36.1162	-119.6816	
KR348964	wnv	KR348964	2011-10-25	North America	USA	NA	CA			genome						36.1162	-119.6816	
